date,ph,avspeedtot,avspeed15,motile,indiv
14.02.2011,7.8,14.99386,39.1704517,0.26,5
14.02.2011,7.8,15.22276008,36.73952368,0.26,5
15.02.2011,7.8,17.82639474,38.76256759,0.35,6
15.02.2011,7.8,25.12811913,43.8798262,0.51,6
15.02.2011,7.8,18.57817373,42.72782073,0.35,6
15.02.2011,7.8,24.30047438,41.3288527,0.51,6
15.02.2011,7.8,26.62774972,41.50948089,0.57,6
15.02.2011,7.8,22.39507972,42.46561879,0.43,6
15.02.2011,7.8,18.95470299,38.93351386,0.4,6
15.02.2011,7.8,24.04557314,46.48203955,0.45,6
15.02.2011,7.8,19.93388034,42.79808308,0.38,6
15.02.2011,7.8,19.06304399,42.3070978,0.34,6
16.02.2011,7.8,17.21205738,37.24646203,0.35,7
16.02.2011,7.8,21.22041216,37.26600951,0.44,7
16.02.2011,7.8,18.53764735,35.46497966,0.4,7
16.02.2011,7.8,16.61530728,26.98865527,0.48,7
16.02.2011,7.8,19.07478264,38.02067774,0.38,7
16.02.2011,7.8,19.33124452,38.87736876,0.41,7
16.02.2011,7.8,14.94651601,41.74950792,0.24,7
16.02.2011,7.8,16.59724437,40.31056231,0.33,7
16.02.2011,7.8,22.83577099,39.80535013,0.47,7
16.02.2011,7.8,18.90838354,44.84729263,0.35,7
17.02.2011,7.8,32.78485857,43.45991246,0.73,8
17.02.2011,7.8,26.64464377,42.06999764,0.57,8
17.02.2011,7.8,25.21893848,46.58120333,0.48,8
17.02.2011,7.8,22.05336109,43.50876801,0.43,8
17.02.2011,7.8,27.02860516,48.79388303,0.48,8
17.02.2011,7.8,19.4753404,46.75971273,0.33,8
17.02.2011,7.8,21.32527532,45.01966156,0.41,8
17.02.2011,7.8,20.10627575,47.56127052,0.34,8
17.02.2011,7.8,23.6613447,45.31092839,0.47,8
17.02.2011,7.8,15.31439493,40.82467436,0.29,8
18.02.2011,7.8,19.43958132,40.25675794,0.4,9
18.02.2011,7.8,16.55630996,41.01185951,0.31,9
18.02.2011,7.8,12.58778559,34.93636295,0.26,9
18.02.2011,7.8,17.605989,41.7952777,0.34,9
18.02.2011,7.8,22.92404868,41.270815,0.44,9
18.02.2011,7.8,18.0137886,43.97761032,0.34,9
18.02.2011,7.8,15.84779585,39.5119122,0.31,9
18.02.2011,7.8,15.84779585,39.5119122,0.31,9
18.02.2011,7.8,15.12051458,36.29487018,0.26,9
18.02.2011,7.8,16.12186399,37.98470424,0.31,9
21.02.2011,7.8,20.80688739,34.85279417,0.52,10
21.02.2011,7.8,15.11685608,34.17237125,0.33,10
21.02.2011,7.8,13.2270144,35.99486727,0.22,10
21.02.2011,7.8,18.40029389,34.02687953,0.39,10
21.02.2011,7.8,16.18182838,38.61896426,0.3,10
21.02.2011,7.8,18.10898613,37.3673027,0.39,10
21.02.2011,7.8,16.50590017,36.47925344,0.37,10
21.02.2011,7.8,26.90749466,42.6339546,0.52,10
21.02.2011,7.8,19.04377421,35.31264269,0.45,10
21.02.2011,7.8,22.77029538,33.4680575,0.61,10
22.02.2011,7.8,28.64961079,39.9776726,0.63,11
22.02.2011,7.8,28.06017285,41.36499697,0.6,11
22.02.2011,7.8,29.56668306,41.65954911,0.66,11
22.02.2011,7.8,27.89957547,35.66885178,0.69,11
22.02.2011,7.8,26.62863555,40.22401989,0.59,11
