ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Yearling,Male,-139.8,67.5,0.058,6.584,-23.157,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Male,-139.8,67.5,0.172,7.538,-23.318,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Male,-139.8,67.5,0.396,5.986,-25.388,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Female,-139.8,67.5,0.935,9.333,-23.860,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Male,-138.0,61.7,0.231,7.187,-23.643,7.688,2.702,20.848,2.731,-8.954,1039,777684.351,140.752,58,64,
Yearling,Female,-139.8,67.5,0.026,6.238,-26.860,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Adult,Male,-139.8,67.5,0.285,5.734,-26.367,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Male,-139.8,67.5,0.032,6.658,-26.385,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Unknown,Male,-139.8,67.5,0.381,7.569,-24.069,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Adult,Female,-139.8,67.5,0.111,6.111,-27.196,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Unknown,Female,-139.8,67.5,0.263,7.623,-23.279,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Male,-135.8,60.1,0.118,6.890,-24.589,7.222,3.748,43.371,4.369,-5.999,1351,954447.979,81.392,52,54,
Yearling,Female,-138.0,61.2,0.126,6.137,-25.326,7.791,5.026,29.665,2.260,-8.994,1890,838678.680,140.734,54,58,
Adult,Female,-132.3,61.3,0.045,6.693,-22.734,7.687,4.693,35.405,2.624,-9.552,1505,820440.558,104.975,48,51,
Yearling,Male,-138.0,61.2,0.62,5.570,-24.824,7.791,5.026,29.665,2.260,-8.994,1890,838678.680,140.734,54,58,
Adult,Female,-132.3,61.3,0.037,5.397,-25.660,7.687,4.693,35.405,2.624,-9.552,1505,820440.558,104.975,48,51,
Adult,Female,-135.8,63.5,0.093,5.601,-25.400,10.667,2.672,29.718,3.341,-8.769,492,565390.043,113.246,61,66,
