ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Subadult,Male,-131.1,69.8,0.568,6.754,-22.888,15.138,15.158,12.136,-6.074,-12.205,1,314.952,82.500,73,77,
Adult,Male,-113.2,67.7,0.364,7.658,-23.593,18.229,22.896,15.362,-4.457,-11.997,0,230.235,76.000,58.7,62.3,
Adult,Female,-115.1,68.0,0.183,7.778,-25.635,15.922,16.016,21.039,-1.302,-9.250,0,2018.056,75.833,62.25,65.92,
Subadult,Male,-137.5,69.0,0.198,5.815,-24.359,10.346,16.848,18.325,-4.974,-12.537,10,956.140,291.000,55,58,
Adult,Male,-90.1,68.7,2.026,10.699,-20.778,25.056,14.964,18.576,-7.117,-14.434,0,285.264,0.000,64.98,67.25,
Adult,Male,-115.2,67.9,0.992,12.691,-22.892,12.571,13.348,19.653,-5.167,-13.183,0,1079.114,72.800,63.83,66.08,
Adult,Female,-139.0,69.6,0.321,7.274,-23.276,22.589,21.162,4.503,-5.578,-12.830,72,498.943,0.000,52,58,
Adult,Male,-137.2,68.9,1.457,6.398,-25.302,13.018,15.728,18.471,-4.464,-11.780,0,1631.716,291.000,55.62,60,
Adult,Male,-137.2,68.9,0.246,5.932,-23.973,13.018,15.728,18.471,-4.464,-11.780,0,1631.716,291.000,55.62,60,
Subadult,Male,-139.0,69.5,1.778,10.529,-24.557,22.589,21.162,17.452,-5.389,-12.905,104,3566.847,0.000,50,54,
Subadult,Male,-132.1,69.2,0.805,9.736,-23.849,7.820,9.375,14.369,-4.372,-11.464,0,27877.145,80.000,64.8,69.6,
