pops,watervel,centroid,bodydep,pdlength,ppectlength,ppelvlength,dfb,afb,dcp,vcplength,acpdepth,pcplength,mpl,bodywidth,group
Rice,Still,3889,19.79,22.69,16.73,20.25,19,9.97,11.16,12.23,8.24,6.35,12.28,8.38,rs
Rice,Still,3660,18.51,21.36,17.13,19.8,18.86,9,10.87,11.62,7.92,5.92,13.71,8.47,rs
Rice,Still,3685,18.51,22.48,17.71,20.55,18.86,8.65,10.48,10.25,7.92,6.25,12.01,7.98,rs
Rice,Still,3834,19.12,23.09,17.87,21.06,18.92,9.95,10.33,10.16,7.91,6.52,11.85,8.16,rs
Rice,Still,2406,14.87,17.69,13.7,16.09,15.42,7.44,9.46,9.74,6.31,4.81,10.7,6.92,rs
Rice,Still,3619,18.06,20.78,17.14,19.91,18.42,8.8,10.94,10.79,7.59,6.16,11.46,8.09,rs
Rice,Still,3865,18.56,21.82,17.78,20.69,20.43,9.05,10.7,10.51,8.02,6.16,11.55,8.37,rs
Rice,Still,2822,15.85,19.43,15.71,17.89,16.38,7.82,8.67,9.51,6.63,5.16,11.44,6.99,rs
Rice,Still,3691,18.4,21.62,18.15,21.09,19,10.17,10.29,9.82,7.59,6.65,10.12,7.71,rs
Rice,Still,3497,18.06,21.73,17.43,19.44,17.68,8.24,11.72,10.27,7.79,6.41,11.22,8.34,rs
Rice,Still,4512,21.2,24.23,18.79,22.19,21.09,9.81,12.04,12.02,8.67,7.22,14.92,9.04,rs
Rice,Still,3757,18.45,22.92,17.81,20.18,18.25,9.63,10.49,10.96,8.4,6.15,13.82,8.48,rs
Rice,Still,3062,17.33,20.42,15.3,18.53,16.93,7.82,10.18,10.24,7.28,5.43,11.84,7.51,rs
Rice,Still,3675,18.56,22.16,18.33,21.01,18.62,8.8,10.88,10.16,7.66,6.33,12.14,8.08,rs
Rice,Flow,3281,17.39,20.92,17.47,19.04,17.43,8.85,7.88,10.4,7.67,5.59,11.97,7.32,rf
Rice,Flow,4754,21.28,25.18,20.2,23,20.99,11.33,11.24,12.47,9.01,6.74,16.3,8.98,rf
Rice,Flow,3222,17.05,21.44,16.45,19.33,16.88,8.6,9.09,10.15,7.42,5.55,12.61,7.42,rf
Rice,Flow,4087,19.73,23.31,18.99,21.04,19.86,9.55,11.08,10.28,8.07,6.59,15.55,8.23,rf
Rice,Flow,2742,15.81,19.43,15.34,17.27,16.09,7.88,9.41,9.78,6.73,4.95,10.89,6.95,rf
Rice,Flow,3047,15.95,21.09,15.9,18.82,16.5,8.61,8.77,9.97,7.37,5.38,11.66,7.83,rf
Rice,Flow,4326,20.33,23.27,17.97,21.87,20.93,10.17,10.27,10.48,8.84,6.96,14.57,8.8,rf
Rice,Flow,2436,13.76,17.87,14.34,16.65,15.92,7.08,8.93,9.04,6.35,5.06,8.63,6.23,rf
Rice,Flow,2789,16.02,20.17,15.23,17.15,15.4,7.57,10.33,10.28,7.1,5.17,11.3,7.09,rf
Rice,Flow,3032,16.84,20.65,16.12,18.18,17.11,8.55,10.06,8.79,7.38,5.59,11.1,7.3,rf
Rice,Flow,3688,18.56,22.31,17.64,19.62,19.27,9.72,9.11,9.96,7.9,6.47,12.7,8.12,rf
Rice,Flow,2763,16.55,19.51,15.66,18.04,15.69,7.47,8.84,7.88,7.1,5.33,9.52,7.52,rf
Rice,Flow,2669,15.43,18.97,15.23,17.5,15.48,7.84,8.71,9.14,7.1,5.27,9.55,6.51,rf
Rice,Flow,2082,13.23,16.58,13.12,15.03,14.19,6.45,8.89,8.67,5.76,4.74,8.33,5.95,rf
Rice,Flow,2909,16.45,20.11,15.65,17.66,16.96,8.02,8.82,9.08,7.21,5.7,10.85,7.31,rf
