ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
0.534,52.82,12.7,2.289,294,22.9,43.03,0.14,0.6,17.38,0.736,6.82,637.1,1.494,370.65,Paddy,2
1.559,78.02,26.5,3.738,709.8,25.5,83.28,0.27,1.493,33.88,0.564,8.11,758.1,2.596,1023.75,Orchard,3
0.687,74.66,21.8,3.318,407.4,24.7,60.8,0.13,1.101,27.38,0.6,5.88,633.3,1.978,380.1,Orchard,3
0.327,47.25,10,1.848,189,21.8,28.18,0.12,0.392,12.91,0.776,5.19,977.9,1.349,473.55,Dryland,1
0.273,41.27,9.46,2.499,324.5,22.5,40.81,0.11,0.501,14.08,0.651,5.1,534.3,1.597,493.5,Orchard,3
0.567,48.2,13.9,2.709,270.9,23.5,55.55,0.17,0.719,17.77,0.872,5.4,735.9,1.679,624.75,Paddy,2
0.883,81.59,26.4,4.011,647.9,26.8,77.29,0.18,1.504,36.12,0.727,5.98,686.7,2.204,553.35,Orchard,3
0.273,59.75,15,2.646,200.6,28.7,51.35,0.15,0.589,16.21,1.084,4.88,952.9,1.803,522.9,Dryland,1
1.319,39.48,13.3,2.289,503,17.7,36.92,0.07,0.567,15.44,0.147,7.42,381,1.236,507.15,Dryland,1
0.741,94.4,27,3.917,496.7,28.4,88.39,0.54,1.145,29.61,1.234,6.4,1248.6,2.101,878.85,Paddy,2
1.014,78.86,23.4,3.801,785.4,25.4,72.77,0.2,1.363,31.26,0.915,7.69,825.7,2.184,438.9,Orchard,3
0.556,52.5,14.2,2.457,268.8,24.4,47.61,0.22,0.709,18.25,1.256,5.86,1071.4,1.648,318.15,Paddy,2
0.785,73.5,24.4,3.749,520.8,27.2,75.38,0.22,1.297,31.07,0.997,6.98,1021.9,2.4,407.4,Paddy,2
0.251,56.18,12.2,2.342,246.8,25.3,42.8,0.16,0.447,16.12,1.043,5.26,890.5,1.658,283.5,Orchard,3
0.196,62.37,14.7,2.541,164.9,26.6,52.39,0.12,0.491,19.61,1.133,5.02,939.9,1.452,609,Paddy,2
0.676,61.95,18.3,3.108,557.6,23.8,59.66,0.29,0.872,20.68,0.79,5.27,685.1,2.101,774.9,Orchard,3
0.643,77.39,19.1,3.276,513.5,25.8,62.25,0.28,0.861,21.94,0.814,5.19,789.1,2.112,924,Orchard,3
0.698,66.2,21.078,3.087,307.7,25.54,61.58,0.224,1.004,22.38,0.961,7.04,855.5,2.029,645.84,Paddy,2
0.719,66.78,21,3.297,516.6,25,67.45,0.18,1.112,26.41,0.659,5.9,796.4,1.998,451.5,Paddy,2
0.305,41.79,9.13,2.237,298.2,28.9,38.8,0.12,0.392,12.04,0.86,5.55,783.9,1.524,702.45,Orchard,3
0.741,68.03,20.784,3.297,382.2,27.09,72,0.235,1.22,29.01,1.057,6.47,970,2.245,339.04,Paddy,2
0.687,69.83,19.4,3.203,387.5,26.1,66.78,0.28,1.046,25.53,1.08,6.36,814,2.091,371.7,Paddy,2
1.057,63.14,24.118,3.675,595.4,22.45,75.44,0.092,1.512,29.01,0.4,7.05,498.2,2.4,531.44,Orchard,3
0.818,69.67,24.51,3.623,541.8,26.68,81.1,0.255,1.274,28.32,1.368,6.49,1147.3,2.307,458.64,Paddy,2
1.177,71.09,23.4,3.749,612.2,24.2,74.7,0.093,1.744,32.33,0.39,8.06,521,2.925,928.2,Dryland,1
0.807,61.3,18.922,3.15,513.5,24.82,65.88,0.214,1.166,25.64,0.54,6.84,551.8,2.194,371.28,Dryland,1
0.447,61.71,21.863,2.447,276.2,25.34,57.65,0.245,0.637,17.92,1.168,5.77,1054.5,1.627,671.84,Dryland,1
0.828,76.02,23.4,3.749,548.1,27.3,77.07,0.29,1.297,29.13,0.955,6.16,1061,2.07,568.05,Paddy,2
0.327,69.41,19.3,3.024,315,28.7,60.61,0.17,0.73,22.14,1.004,5.04,1108.6,2.122,485.1,Orchard,3
0.861,79.8,28.3,3.948,528.2,27,87.37,0.17,1.679,36.89,0.41,6.65,487.6,2.637,766.5,Dryland,1
