species,plant-id,gyn-width,hood-length,hood-height,horn-reach,slit-length,gap-width,display-flowers-1day,removals-per-flower,insertions-per-flower,fruits,geo_mean,relz-gyn-w,relz-hood-l,relz-hood-h,relz-horn-r,relz-slit-l,relz-gap-w,remins-std-gyn-w,remins-std-hood-l,remins-std-hood-h,remins-std-horn-r,remins-std-slit-l,remins-std-gap-w,std-floral-display-1day,rel-removal-per-flower,rel-insertion-per-flower,fruit-std-gyn-w,fruit-std-hood-l,fruit-std-hood-h,fruit-std-horn-r,fruit-std-slit-l,fruit-std-gap-w,fruit-std-display-size,rel-fruits,notes,total-flower-quantity,poll-duration-per10min(no-flies),poll-visits-per10min(no-flies)
Asyr,AS01,0.219,0.3557,0.5095,0.2038,0.1918,0.0464,168,3.0308,0.3231,7,0.2954,0.7414,1.2042,1.7249,0.69,0.6493,0.1571,0.0126,0.7453,0.0231,-0.0052,0.1851,-1.2587,0.8513,1.5032,0.7706,-0.0338,0.694,-0.0218,-0.0925,0.1087,-1.2607,0.7907,1.1760,,325,0.512,0.480
Asyr,AS02,0.2042,0.2776,0.5293,0.182,0.1843,0.0597,120,3.0732,1.0244,3,0.2727,0.7488,1.018,1.941,0.6674,0.6758,0.2189,-1.2374,-1.1126,0.4765,-0.6511,-0.459,-0.1277,0.1527,1.5242,2.4433,-1.2902,-1.1224,0.4261,-0.7732,-0.5484,-0.1345,0.1036,0.5040,,369,0.375,2.413
Asyr,AS03,0.2233,0.2771,0.5083,0.1809,0.1687,0.0664,117,0.3226,0.1935,10,0.2699,0.8274,1.0267,1.8833,0.6703,0.6251,0.246,0.3758,-1.1245,-0.0044,-0.6837,-1.7987,0.442,0.109,0.16,0.4616,0.3313,-1.134,-0.0489,-0.8075,-1.915,0.4329,0.0607,1.6800,,372,0.000,0.000
Asyr,AS04,0.2081,0.2403,0.4241,0.152,0.1796,0.0515,76,1.2475,0.2970,3,0.2484,0.8377,0.9673,1.7071,0.6118,0.7229,0.2073,-0.908,-1.9999,-1.9328,-1.54,-0.8626,-0.8251,-0.4878,0.6187,0.7084,-0.9591,-1.9899,-1.9533,-1.71,-0.9601,-0.8288,-0.5262,0.5040,,303,0.188,0.665
Asyr,AS05,0.2136,0.3544,0.5368,0.194,0.1842,0.0459,148,3.5573,0.9008,3,0.2941,0.7262,1.2049,1.825,0.6596,0.6262,0.156,-0.4435,0.7144,0.6483,-0.2956,-0.4676,-1.3013,0.5602,1.7643,2.1484,-0.4922,0.6638,0.5957,-0.3985,-0.5571,-1.303,0.5044,0.5040,,262,4.736,11.667
Asyr,AS07,0.2276,0.2984,0.4867,0.2161,0.1953,0.084,61,1.5000,0.2400,1,0.2835,0.803,1.0527,1.717,0.7624,0.689,0.2963,0.7389,-0.6178,-0.4991,0.3592,0.4857,1.9387,-0.7061,0.7439,0.5724,0.6964,-0.6386,-0.5375,0.2916,0.4153,1.9232,-0.7409,0.1680,,150,2.138,0.668
Asyr,AS08,0.2103,0.3155,0.439,0.1806,0.1967,0.0581,69,0.1833,0.3333,0,0.2751,0.7644,1.1468,1.5957,0.6564,0.715,0.2112,-0.7222,-0.211,-1.5915,-0.6926,0.6059,-0.2638,-0.5896,0.0909,0.795,-0.7724,-0.2409,-1.6163,-0.8169,0.5379,-0.27,-0.6264,0.0000,,90,0.000,0.000
Asyr,AS09,0.2261,0.3385,0.5744,0.2101,0.1898,0.0597,388,2.5053,0.3915,1,0.3022,0.7481,1.12,1.9005,0.6952,0.628,0.1975,0.6122,0.3361,1.5094,0.1815,0.0134,-0.1277,4.0535,1.2426,0.9337,0.569,0.294,1.4462,0.1042,-0.0665,-0.1345,3.9399,0.1680,,421.5,8.181,5.167
Asyr,AS10,0.2214,0.3508,0.5406,0.2295,0.1997,0.0525,47,2.0200,0.5600,0,0.3026,0.7317,1.1593,1.7865,0.7584,0.6599,0.1735,0.2153,0.6287,0.7353,0.7563,0.8636,-0.74,-0.9099,1.0018,1.3357,0.17,0.5801,0.6817,0.71,0.8008,-0.7442,-0.9413,0.0000,,50,0.000,0.000
Asyr,AS11,0.2175,0.3166,0.432,0.1501,0.1746,0.0535,35,0.1389,0.0278,0,0.2685,0.8102,1.1793,1.6092,0.5591,0.6504,0.1993,-0.1141,-0.1849,-1.7518,-1.5963,-1.292,-0.655,-1.0845,0.0689,0.0663,-0.1611,-0.2154,-1.7747,-1.7693,-1.3981,-0.6595,-1.1131,0.0000,,36,3.410,0.628
Asyr,AS13,0.2244,0.3107,0.5558,0.2061,0.1962,0.0621,82,0.1529,0.2000,3,0.2953,0.7599,1.0522,1.8822,0.698,0.6644,0.2103,0.4687,-0.3252,1.0834,0.0629,0.563,0.0763,-0.4004,0.0759,0.477,0.4247,-0.3526,1.0255,-0.0207,0.4941,0.0688,-0.4403,0.5040,,170,3.119,4.823
Asyr,AS14,0.212,0.3787,0.5118,0.2238,0.1944,0.0717,156,2.2019,0.4423,8,0.299,0.7091,1.2667,1.712,0.7486,0.6503,0.2398,-0.5786,1.2924,0.0757,0.5874,0.4084,0.8927,0.6767,1.0921,1.055,-0.628,1.2289,0.0303,0.532,0.3364,0.8817,0.6189,1.3440,,416,1.025,1.893
Asyr,AS15,0.2015,0.2585,0.4833,0.1651,0.2002,0.0484,97,1.6875,0.0938,1,0.2664,0.7563,0.9702,1.8139,0.6196,0.7514,0.1817,-1.4655,-1.567,-0.577,-1.1518,0.9065,-1.0887,-0.1821,0.8369,0.2236,-1.5195,-1.5666,-0.6144,-1.3009,0.8446,-1.0913,-0.2256,0.1680,,144,0.000,0.000
Asyr,AS16,0.2307,0.3053,0.4618,0.2231,0.2051,0.0625,52,0.5882,0.0294,9,0.2858,0.8072,1.0683,1.6159,0.7806,0.7177,0.2187,1.0008,-0.4537,-1.0694,0.5666,1.3273,0.1104,-0.8371,0.2917,0.0702,0.9595,-0.4782,-1.1006,0.5102,1.2738,0.1026,-0.8698,1.5120,,68,0.000,0.000
Asyr,AS17,0.2406,0.3191,0.4587,0.1438,0.1993,0.055,96,0.5577,0.4712,5,0.2894,0.8312,1.1025,1.5848,0.4968,0.6886,0.19,1.8369,-0.1254,-1.1404,-1.7829,0.8292,-0.5274,-0.1967,0.2766,1.1238,1.8,-0.1572,-1.1708,-1.966,0.7657,-0.5325,-0.2399,0.8400,,312,0.417,2.889
Asyr,AS18,0.2359,0.354,0.6035,0.2664,0.205,0.0668,262,2.1421,0.2183,28,0.3188,0.7399,1.1104,1.8929,0.8356,0.643,0.2095,1.44,0.7048,2.1758,1.8496,1.3187,0.476,2.2195,1.0624,0.5206,1.401,0.6545,2.1043,1.8622,1.2651,0.4667,2.1363,4.7040,,295.5,9.704,2.961
Asyr,AS19,0.1994,0.3142,0.4875,0.191,0.1813,0.0547,195,1.9128,0.3440,10,0.2728,0.731,1.1518,1.7871,0.7002,0.6646,0.2005,-1.6429,-0.242,-0.4808,-0.3845,-0.7166,-0.5529,1.2443,0.9487,0.8206,-1.6978,-0.2712,-0.5194,-0.4922,-0.8112,-0.5579,1.1772,1.6800,,290.7,6.473,2.995
Asyr,AS20,0.1993,0.313,0.4717,0.1787,0.1805,0.0678,192,4.1250,0.5598,4,0.27,0.7383,1.1594,1.7473,0.662,0.6686,0.2511,-1.6513,-0.2705,-0.8426,-0.7489,-0.7853,0.5611,1.2006,2.0459,1.3351,-1.7062,-0.2991,-0.8767,-0.8762,-0.8813,0.5514,1.1342,0.6720,,183,2.768,3.974
Asyr,AS21,0.2231,0.2705,0.4371,0.1782,0.159,0.0608,90,0.5909,0.5455,4,0.2545,0.8767,1.0629,1.7176,0.7002,0.6248,0.2389,0.3589,-1.2815,-1.635,-0.7637,-2.6318,-0.0342,-0.284,0.2931,1.301,0.3143,-1.2875,-1.6593,-0.8919,-2.7648,-0.0413,-0.3258,0.6720,,132,0.000,0.000
Asyr,AS22,0.206,0.285,0.5098,0.1748,0.1761,0.056,,0.5250,0.3500,,0.2694,0.7645,1.0577,1.892,0.6487,0.6536,0.2078,-1.0854,-0.9366,0.0299,-0.8644,-1.1632,-0.4424,-1.0118,0.2604,0.8348,,,,,,,,,Ramet died,,,
Asyr,AS23,0.218,0.3123,0.4961,0.1889,0.1976,0.0766,62,0.3380,0.3662,3,0.2858,0.7627,1.0926,1.7357,0.6609,0.6913,0.268,-0.0719,-0.2872,-0.2838,-0.4467,0.6832,1.3094,-0.6915,0.1677,0.8734,-0.1187,-0.3154,-0.3248,-0.5577,0.6168,1.2966,-0.7266,0.5040,,118.3,3.512,2.473
Asyr,AS24,0.2206,0.3569,0.5216,0.2324,0.201,0.0802,56,0.5636,0.3455,2,0.3014,0.7319,1.1841,1.7305,0.771,0.6668,0.2661,0.1477,0.7738,0.3002,0.8422,0.9752,1.6155,-0.7789,0.2795,0.8239,0.1021,0.7219,0.2519,0.8006,0.9146,1.6014,-0.8125,0.3360,,73.3,1.833,1.946
