spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rk,65.69,22.87,20.39,4.92,5.25,29.55,35.58,53.9,4.82,4.64,4.73,4.22,1.190737569,,,,,,,,,,
rk,58.98,22.3,19.57,5.75,4.47,28.5,35.78,53.28,3.97,4.52,6.04,4.31,1.212402306,,,,,,,,,,
rk,60.95,21.71,19.34,5.51,5.81,30.7,32.97,51.94,3.77,4.51,5.42,4.46,1.191843773,,,,,,,,,,
rk,65.42,21.23,20.19,5.09,6.15,31.07,34.52,52.86,3.73,3.49,4.58,4.33,1.107205645,,,,,,,,,,
rk,60.3,22.2,18.29,4.86,5.35,26.22,33.6,50.53,4.53,4.2,5.28,4.82,1.304280937,,,,,,,,,,
rk,52.43,17.77,17.36,4.8,4.49,27.24,30.06,42.9,3.49,2.97,3.85,4.03,1.074577764,,,,,,,,,,
rk,47.71,16.48,16.13,4.29,3.68,22.98,25.21,39.36,2.78,2.99,3.47,3.19,1.072344989,,,,,,,,,,
rk,48.21,17.19,17.2,4.31,4.7,22.58,25.97,39.27,2.91,3.13,3.37,3.22,1.046526279,,,,,,,,,,
rk,51.26,16.6,17.24,4.66,3.84,24.25,27.84,40.78,3.04,3.59,3.54,4.12,1.004590431,,,,,,,,,,
rk,48.44,14.86,15.51,3.55,3.72,21.81,25.92,39.04,3.2,4.28,3.94,3.29,0.99913463,,,,,,,,,,
rk,58.87,19.02,18.92,4.91,5.07,30.96,34.49,50.43,4.22,3.66,4.02,3.91,1.053306015,,,,,,,,,,
rk,67.54,22.22,22.16,5.68,5.02,31.26,38.7,60.71,3.97,4.3,5.47,4.21,1.05032541,,,,,,,,,,
rk,64.15,21.19,22.54,5.23,4.96,33.45,37.43,58.61,4.38,3.66,4.15,3.79,0.978702189,,,,,,,,,,
rk,52.11,16.29,18.06,4.65,4.08,26.52,29.61,42.38,3.43,3.86,3.73,3.14,0.935763436,,,,,,,,,,
rk,54.16,18.65,19.17,4.66,4.82,20.59,28.55,44.85,3.39,3.01,4.51,3.11,1.016014555,,,,,,,,,,
rk,62.21,19.29,19.15,4.94,4.17,30.05,35.65,50.22,4.79,4.26,4.09,3.52,1.055649562,,,,,,,,,,
rk,47.78,14.34,17.13,4.65,4.92,25.56,26.99,43.41,2.85,3.71,2.9,3.61,0.863726973,,,,,,,,,,
rk,69.69,23.81,23.67,6.23,7.26,39.81,39.36,57.97,4.11,5,4.93,4.7,1.054033971,,,,,,,,,,
rk,47.54,15.36,16.32,4.31,4.52,22.97,28.58,43.2,3.56,3.38,3.3,2.85,0.979914653,,,,,,,,,,
rk,66.86,22.22,21.42,6.01,5.42,33.66,35.46,50.89,4.05,4.69,4.92,4.73,1.090598903,,,,,,,,,,
rk,60.93,21.77,19.27,5.74,5.25,32.34,33.71,49.76,4.27,4.65,4.51,3.54,1.20054576,,,,,,,,,,
rk,60.51,21.4,21.42,5.36,5.75,33.38,34.95,50.39,4.72,3.29,4.7,4.42,1.046119567,,,,,,,,,,
rk,60.95,20.4,19.21,5.37,5.51,29.48,34.6,50.97,4.39,4.01,4.76,4.4,1.119497838,,,,,,,,,,
rk,65.09,21.68,20.56,5.4,4.89,28.88,35,53.24,3.99,4.3,4.87,3.79,1.110692047,,,,,,,,,,
rk,57.91,20.87,19.28,4.3,6.14,28.65,31.96,48.63,4.1,3.83,4.91,3.76,1.143808929,,,,,,,,,,
