rh,colour,timepup,subst,sex,weight,colnum
high,green,27,leaf,female,0.1793,1
high,green,27,off-leaf,female,0.1955,1
high,green,27,off-leaf,female,0.1783,1
high,green,27,leaf,female,0.1772,1
high,green,27,leaf,female,0.1898,1
high,green,27,leaf,female,0.1594,1
high,green,27,leaf,female,0.1522,1
high,green,27,leaf,male,0.1567,1
high,green,27,leaf,male,0.2112,1
high,green,27,leaf,female,0.2024,1
high,green,27,leaf,female,0.1707,1
high,green,27,leaf,female,0.1581,1
high,green,27,off-leaf,male,0.1781,1
high,green,27,off-leaf,female,0.1348,1
high,green,27,leaf,male,0.1908,1
high,green,27,leaf,female,0.1702,1
high,green,21,leaf,male,0.1615,1
high,green,21,leaf,male,0.1151,1
high,green,21,leaf,female,0.1874,1
high,green,24,leaf,male,0.1716,1
high,green,30,leaf,male,0.1681,1
high,green,30,leaf,male,0.2136,1
high,green,30,off-leaf,female,0.1648,1
high,green,26,leaf,female,0.1841,1
high,green,26,off-leaf,female,0.1797,1
high,green,26,leaf,male,0.1547,1
high,green,27,leaf,male,0.1525,1
high,green,28,off-leaf,female,0.2148,1
high,green,28,leaf,female,0.185,1
high,green,27,leaf,male,0.1663,1
high,green,28,leaf,male,0.1624,1
high,green,28,off-leaf,female,0.1866,1
high,green,27,leaf,female,0.1709,1
high,green,27,leaf,female,0.2101,1
high,green,28,leaf,male,0.1726,1
high,green,28,leaf,male,0.1949,1
high,green,28,leaf,female,0.2285,1
high,green,39,leaf,female,0.1589,1
high,green,25,leaf,male,0.1668,1
high,green,25,leaf,female,0.146,1
high,green,25,off-leaf,female,0.1922,1
high,brown,25,off-leaf,female,0.1689,0
high,green,23,leaf,male,0.1872,1
high,green,36,leaf,female,0.1822,1
high,green,36,leaf,female,0.1878,1
high,green,36,leaf,male,0.1436,1
high,green,36,leaf,female,0.1638,1
high,green,29,leaf,male,0.1566,1
high,green,22,leaf,male,0.1732,1
high,green,22,leaf,female,0.2033,1
high,green,28,off-leaf,female,0.1417,1
high,green,30,leaf,female,0.1638,1
high,green,30,leaf,male,0.1504,1
high,green,30,leaf,female,0.2244,1
high,green,30,leaf,male,0.1229,1
high,green,34,leaf,female,0.2727,1
high,green,27,leaf,male,0.2011,1
high,green,27,leaf,female,0.1596,1
high,green,27,off-leaf,female,0.1645,1
high,green,27,off-leaf,female,0.1763,1
high,green,27,off-leaf,female,0.1787,1
high,green,27,leaf,male,0.1694,1
high,green,27,leaf,female,0.2205,1
high,green,27,leaf,female,0.1888,1
high,green,27,leaf,female,0.1763,1
high,green,27,leaf,female,0.1885,1
low,green,35,leaf,female,0.183,1
low,green,23,leaf,male,0.1906,1
low,green,24,leaf,male,0.2077,1
low,green,24,off-leaf,male,0.2576,1
low,brown,24,off-leaf,male,0.1777,0
low,green,26,off-leaf,female,0.1752,1
low,brown,23,off-leaf,female,0.1921,0
low,green,26,leaf,female,0.2169,1
low,green,26,leaf,female,0.2172,1
low,green,26,leaf,male,0.1646,1
low,green,23,off-leaf,female,0.2495,1
low,green,24,leaf,male,0.2254,1
low,green,27,leaf,male,0.2095,1
low,green,27,leaf,male,0.2093,1
low,green,27,leaf,male,0.2081,1
low,green,27,off-leaf,male,0.2193,1
low,green,53,leaf,male,0.2555,1
low,green,29,off-leaf,female,0.1918,1
low,green,29,leaf,female,0.2448,1
low,green,29,leaf,female,0.1834,1
low,green,29,off-leaf,male,0.1693,1
low,brown,26,off-leaf,male,0.1928,0
low,green,26,leaf,female,0.2769,1
low,green,26,leaf,female,0.183,1
low,green,26,leaf,female,0.2284,1
low,green,26,leaf,male,0.1818,1
low,green,29,leaf,female,0.2443,1
low,green,29,leaf,female,0.2539,1
low,green,29,off-leaf,male,0.1586,1
low,green,26,leaf,female,0.2302,1
low,green,26,leaf,male,0.1831,1
low,green,26,leaf,female,0.2213,1
low,green,26,off-leaf,male,0.1782,1
low,green,25,off-leaf,female,0.1799,1
low,green,28,off-leaf,female,0.2098,1
low,green,28,off-leaf,female,0.2003,1
low,green,28,leaf,female,0.2257,1
low,green,28,off-leaf,female,0.2173,1
low,green,27,leaf,female,0.2461,1
low,green,22,leaf,female,0.296,1
low,green,22,leaf,female,0.2068,1
low,green,22,leaf,female,0.2849,1
low,green,22,leaf,female,0.2367,1
low,green,21,leaf,male,0.1607,1
low,green,24,leaf,female,0.3121,1
low,green,24,leaf,female,0.2488,1
low,green,26,leaf,male,0.1497,1
low,green,25,off-leaf,female,0.1791,1
low,green,22,leaf,male,0.1604,1
low,green,28,off-leaf,female,0.1374,1
low,green,26,off-leaf,female,0.2434,1
low,green,26,off-leaf,female,0.2134,1
low,green,26,off-leaf,male,0.1291,1
low,green,26,off-leaf,male,0.1045,1
low,green,26,off-leaf,female,0.1182,1
