Plant ID,Shelter,Plot,Pot,Species,Amount,Frequency,1st leaf measurement,1st plant height measurement,2nd leaf measurement,2nd plant height measurement,Above-ground biomass,Below-ground biomass,Above- to below-ground ratio,Sp_name,Type
705,8,45,785,Big bluestem,70,30,18,17,24,87.5,7.6228,12.8735,11.47872173,Andropogon,monocot
715,8,46,803,Big bluestem,90,3,17,20,13,65,3.5948,7.3936,18.08167353,Andropogon,monocot
735,8,47,827,Big bluestem,90,15,18,17,33,143,9.4512,13.8059,15.13035382,Andropogon,monocot
739,8,48,845,Big bluestem,90,30,29,20,40,132.5,8.7046,10.5846,15.22183673,Andropogon,monocot
862,9,49,864,Big bluestem,70,3,22,20,35,70.5,6.9923,11.529,10.08251934,Andropogon,monocot
846,9,50,885,Big bluestem,70,15,9,19,31,76,5.2299,19.8715,14.53182661,Andropogon,monocot
884,9,51,907,Big bluestem,70,30,28,18,43,76.5,7.87,21.4019,9.720457433,Andropogon,monocot
853,9,52,917,Big bluestem,90,3,30,20,34,109,7.2194,14.4381,15.09820761,Andropogon,monocot
867,9,53,939,Big bluestem,90,15,15,23,28,71,4.5217,12.7757,15.70205896,Andropogon,monocot
878,9,54,959,Big bluestem,90,30,18,17,35,68,4.9068,14.9863,13.85831907,Andropogon,monocot
966,10,55,975,Big bluestem,70,3,19,23,35,116.5,5.6906,9.3517,20.47235792,Andropogon,monocot
944,10,56,989,Big bluestem,70,15,33,24,29,113,8.4684,13.0531,13.34372491,Andropogon,monocot
920,10,57,1005,Big bluestem,70,30,13,23,33,59,2.8153,15.0857,20.95691401,Andropogon,monocot
957,10,58,1026,Big bluestem,90,3,8,13,36,60,3.6472,6.9502,16.45097609,Andropogon,monocot
901,10,59,1036,Big bluestem,90,15,17,18,78,82,7.7358,15.1602,10.60006722,Andropogon,monocot
965,10,60,1067,Big bluestem,90,30,22,14,52,98.5,4.106,7.1466,23.98928397,Andropogon,monocot
17,1,1,4,Butterflyweed,70,3,22,12,62,34,1.3001,3.5863,26.15183447,Asclepias,eudicot
77,1,2,31,Butterflyweed,70,15,36,12.5,76,25,1.7435,3.9556,14.33897333,Asclepias,eudicot
47,1,3,45,Butterflyweed,70,30,34,15,42,15,1.1419,3.4777,13.1360014,Asclepias,eudicot
24,1,4,63,Butterflyweed,90,3,56,11,89,21,1.6105,3.5238,13.03942875,Asclepias,eudicot
